rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate
1,11 Com,b,Radial Velocity,1,326.03,0.32,-0.32,0.0,1.29,0.05,-0.05,False,0.231,0.005,-0.005,0.0,,,,,19.4,1.5,-1.5,0.0,Msini,,,,,,,,,False,False,False,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,110.62,9.61,-11.63,0.0,4.74,,False,False,V (Johnson),4742.0,100.0,-100.0,False,False,2.7,0.3,-0.3,0.0,False,19.0,2.0,-2.0,False,False,2014-05-14
2,11 UMi,b,Radial Velocity,1,516.22,3.25,-3.25,0.0,1.54,0.07,-0.07,False,0.08,0.03,-0.03,0.0,,,,,10.5,2.47,-2.47,0.0,Msini,,,,,,,,,False,False,False,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,119.47,6.22,-6.95,0.0,5.016,0.009,False,False,V (Johnson),4340.0,70.0,-70.0,False,False,1.8,0.25,-0.25,0.0,False,24.08,1.84,-1.84,False,False,2014-05-14
3,14 And,b,Radial Velocity,1,185.84,0.23,-0.23,0.0,0.83,,,False,0.0,,,0.0,,,,,4.8,,,0.0,Msini,,,,,,,,,False,False,False,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,76.39,3.93,-4.38,0.0,,,,,,4813.0,20.0,-20.0,False,False,2.2,0.1,-0.2,0.0,False,11.0,1.0,-1.0,False,False,2014-05-14
4,14 Her,b,Radial Velocity,1,1773.4,2.5,-2.5,0.0,2.77,0.05,-0.05,False,0.369,0.005,-0.005,0.0,,,,,4.64,0.19,-0.19,0.0,Msini,,,,,,,,,False,False,False,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,18.15,0.19,-0.2,0.0,6.61,0.02,False,False,V (Johnson),5311.0,87.0,-87.0,False,False,0.9,0.05,-0.05,0.0,False,,,,,False,2014-05-14
5,16 Cyg B,b,Radial Velocity,1,798.5,1.0,-1.0,0.0,1.681,0.097,-0.097,False,0.681,0.017,-0.017,0.0,,,,,1.68,0.15,-0.15,0.0,Msini,,,,,,,,,False,False,False,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,0.23,-0.23,0.0,6.25,,False,False,V (Johnson),5674.0,,,False,False,0.99,,,0.0,False,,,,,False,2015-09-10
6,18 Del,b,Radial Velocity,1,993.3,3.2,-3.2,0.0,2.6,,,False,0.08,0.01,-0.01,0.0,,,,,10.3,,,0.0,Msini,,,,,,,,,False,False,False,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,73.1,3.56,-3.94,0.0,,,,,,4979.0,18.0,-18.0,False,False,2.3,,,0.0,False,8.5,,,False,False,2014-05-14
8,24 Sex,b,Radial Velocity,2,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,False,0.09,0.14,-0.06,0.0,,,,,1.99,0.26,-0.38,0.0,Msini,,,,,,,,,False,False,False,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,0.0,6.441,0.01,False,False,V (Johnson),5098.0,44.0,-44.0,False,False,1.54,0.08,-0.08,0.0,False,4.9,0.08,-0.08,False,False,2014-05-14
9,24 Sex,c,Radial Velocity,2,883.0,32.4,-13.8,0.0,2.08,0.05,-0.02,False,0.29,0.16,-0.09,0.0,,,,,0.86,0.35,-0.22,0.0,Msini,,,,,,,,,False,False,False,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,0.0,6.441,0.01,False,False,V (Johnson),5098.0,44.0,-44.0,False,False,1.54,0.08,-0.08,0.0,False,4.9,0.08,-0.08,False,False,2014-05-14
16,30 Ari B,b,Radial Velocity,1,335.1,2.5,-2.5,0.0,0.995,0.012,-0.012,False,0.289,0.092,-0.092,0.0,,,,,9.88,0.94,-0.94,0.0,Msini,,,,,,,,,False,False,False,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,39.43,1.64,-1.79,0.0,,,,,,6300.0,60.0,-60.0,False,False,1.16,0.04,-0.04,0.0,False,1.13,0.03,-0.03,False,False,2014-05-14
17,4 UMa,b,Radial Velocity,1,269.3,1.96,-1.96,0.0,0.87,0.04,-0.04,False,0.432,0.024,-0.024,0.0,,,,,7.1,1.6,-1.6,0.0,Msini,,,,,,,,,False,False,False,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,77.4,4.03,-4.5,0.0,4.61,,False,False,V (Johnson),4415.0,70.0,-70.0,False,False,1.23,0.15,-0.15,0.0,False,18.11,1.47,-1.47,False,False,2014-05-14
18,42 Dra,b,Radial Velocity,1,479.1,6.2,-6.2,0.0,1.19,0.01,-0.01,False,0.38,0.06,-0.06,0.0,,,,,3.88,0.85,-0.85,0.0,Msini,,,,,,,,,False,False,False,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,97.28,4.34,-4.76,0.0,4.82,,False,False,V (Johnson),4200.0,70.0,-70.0,False,False,0.98,0.05,-0.05,0.0,False,22.03,1.0,-1.0,False,False,2014-05-14
